i \in I,s \in S,h_is
1,s1,14543.0
1,s2,88760.6
2,s1,15304.0
2,s2,92036.54
3,s1,23882.0
3,s2,135199.97
4,s1,9935.0
4,s2,68376.5
5,s1,16583.0
5,s2,92969.74
6,s1,10531.0
6,s2,64649.32
7,s1,12364.0
7,s2,75770.82
8,s1,14726.0
8,s2,90174.03
9,s1,5188.0
9,s2,30168.66
10,s1,13336.0
10,s2,74946.04
11,s1,13030.0
11,s2,82817.85
12,s1,19544.0
12,s2,122475.66
13,s1,22979.0
13,s2,128406.0
14,s1,4859.0
14,s2,27705.2
15,s1,20476.0
15,s2,123393.92
16,s1,7691.0
16,s2,48558.24
17,s1,32004.0
17,s2,181475.04
18,s1,12686.0
18,s2,85036.47
19,s1,14158.0
19,s2,92444.15
20,s1,5187.0
20,s2,36389.38
21,s1,12364.0
21,s2,73105.1
22,s1,17941.0
22,s2,109496.46
23,s1,13441.0
23,s2,84853.28
24,s1,18014.0
24,s2,105106.39
25,s1,8625.0
25,s2,47189.126
26,s1,19324.0
26,s2,123694.33
27,s1,34693.0
27,s2,221043.48
28,s1,12246.0
28,s2,76397.16
29,s1,10675.0
29,s2,48849.8
30,s1,11728.0
30,s2,68803.06
31,s1,28749.0
31,s2,185618.03
32,s1,380587.0
32,s2,2479429.73
33,s1,13085.0
33,s2,79188.14
34,s1,24294.0
34,s2,134609.03
35,s1,39319.0
35,s2,220532.08
36,s1,9986.0
36,s2,59090.19
37,s1,42726.0
37,s2,262438.35
38,s1,24312.0
38,s2,144285.61
39,s1,35487.0
39,s2,227342.69
40,s1,19838.0
40,s2,129296.45
41,s1,13420.0
41,s2,81830.53
42,s1,7963.0
42,s2,47627.44
43,s1,28546.0
43,s2,171129.23
44,s1,62827.0
44,s2,377315.77
45,s1,14049.0
45,s2,78550.39
46,s1,20605.0
46,s2,133295.52
47,s1,20800.0
47,s2,124139.27
48,s1,15509.0
48,s2,91490.7
49,s1,25013.0
49,s2,160795.49
50,s1,21767.0
50,s2,112734.7
51,s1,10354.0
51,s2,63460.32
52,s1,4775.0
52,s2,28014.31
53,s1,7610.0
53,s2,44503.8
54,s1,12492.0
54,s2,68246.96
55,s1,15373.0
55,s2,100008.44
56,s1,16679.0
56,s2,112332.48
57,s1,31677.0
57,s2,206641.04
58,s1,15833.0
58,s2,102194.26
59,s1,13899.0
59,s2,83877.59
60,s1,8676.0
60,s2,51746.7
61,s1,8774.0
61,s2,57062.24
62,s1,8855.0
62,s2,58100.89
63,s1,23459.0
63,s2,151163.37
64,s1,12115.0
64,s2,67139.16
65,s1,11117.0
65,s2,65429.87
66,s1,15344.0
66,s2,93633.06
67,s1,15686.0
67,s2,92998.67
68,s1,9221.0
68,s2,55287.12
69,s1,67525.0
69,s2,406230.48
70,s1,65261.0
70,s2,342039.4
71,s1,56707.0
71,s2,340271.23
72,s1,56760.0
72,s2,423104.56
73,s1,13458.0
73,s2,92194.15
74,s1,12979.0
74,s2,75373.88
75,s1,16520.0
75,s2,90210.56
76,s1,11335.0
76,s2,69616.17
77,s1,4248.0
77,s2,29144.376
78,s1,12251.0
78,s2,78848.85
79,s1,6449.0
79,s2,35549.091
80,s1,41251.0
80,s2,223137.28
81,s1,36510.0
81,s2,231654.43
82,s1,23164.0
82,s2,136501.79
83,s1,14677.0
83,s2,93087.51
84,s1,25068.0
84,s2,140237.54
85,s1,15419.0
85,s2,94415.97
86,s1,12605.0
86,s2,73954.31
87,s1,38379.0
87,s2,253713.24
88,s1,64421.0
88,s2,396968.59
89,s1,12906.0
89,s2,59498.344
90,s1,14000.0
90,s2,81129.06
91,s1,5211.0
91,s2,31961.433
92,s1,64111.0
92,s2,494014.27
93,s1,7444.0
93,s2,41370.79
94,s1,28971.0
94,s2,159026.62
95,s1,20507.0
95,s2,122370.52
96,s1,9669.0
96,s2,56258.29
97,s1,11143.0
97,s2,68719.71
98,s1,26666.0
98,s2,153419.57
99,s1,21076.0
99,s2,143192.33
100,s1,12374.0
100,s2,81770.15
101,s1,12998.0
101,s2,81360.87
102,s1,9096.0
102,s2,58688.3
103,s1,30934.0
103,s2,181400.32
104,s1,10355.0
104,s2,67488.14
105,s1,15521.0
105,s2,89427.63
106,s1,33216.0
106,s2,177850.64
107,s1,21030.0
107,s2,124715.42
108,s1,29256.0
108,s2,186626.57
109,s1,15056.0
109,s2,96715.85
110,s1,14457.0
110,s2,96733.23
111,s1,17108.0
111,s2,94840.3
112,s1,8936.0
112,s2,35242.212
113,s1,10816.0
113,s2,75389.53
114,s1,27985.0
114,s2,180730.55
115,s1,15061.0
115,s2,86283.28
116,s1,11388.0
116,s2,70252.85
117,s1,22547.0
117,s2,130490.5
118,s1,28550.0
118,s2,155313.17
119,s1,17264.0
119,s2,105781.66
120,s1,21579.0
120,s2,128314.66
121,s1,25090.0
121,s2,159893.69
122,s1,10700.0
122,s2,62436.5
123,s1,16712.0
123,s2,109781.12
124,s1,19837.0
124,s2,103475.73
125,s1,15832.0
125,s2,91505.8
126,s1,14065.0
126,s2,84969.51
127,s1,10513.0
127,s2,65654.63
128,s1,18260.0
128,s2,116309.93
129,s1,13557.0
129,s2,86242.41
130,s1,7809.0
130,s2,47465.47
131,s1,32934.0
131,s2,198512.38
132,s1,32918.0
132,s2,187680.44
133,s1,21421.0
133,s2,158843.5
134,s1,10927.0
134,s2,70847.49
135,s1,5263.0
135,s2,32049.58
136,s1,13841.0
136,s2,77925.57
137,s1,12547.0
137,s2,77017.44
138,s1,14342.0
138,s2,88082.28
139,s1,14647.0
139,s2,70247.12
140,s1,10381.0
140,s2,67747.16
141,s1,12776.0
141,s2,74920.74
142,s1,34446.0
142,s2,205591.89
143,s1,25335.0
143,s2,164543.94
144,s1,24027.0
144,s2,134433.36
145,s1,4927.0
145,s2,28120.643
146,s1,13644.0
146,s2,82187.11
147,s1,7484.0
147,s2,41849.7
148,s1,31763.0
148,s2,167471.05
149,s1,10995.0
149,s2,63599.07
150,s1,11959.0
150,s2,72735.65
151,s1,110406.0
151,s2,717479.07
152,s1,26582.0
152,s2,163018.02
153,s1,49222.0
153,s2,261943.52
154,s1,27916.0
154,s2,156125.74
155,s1,32369.0
155,s2,190009.97
156,s1,22585.0
156,s2,136863.89
157,s1,12051.0
157,s2,67394.92
158,s1,43333.0
158,s2,248054.84
159,s1,31619.0
159,s2,180159.01
160,s1,29673.0
160,s2,172264.49
161,s1,19899.0
161,s2,131998.0
162,s1,18528.0
162,s2,103373.53
163,s1,37657.0
163,s2,217664.03
164,s1,8851.0
164,s2,55010.06
165,s1,52779.0
165,s2,343255.17
166,s1,38205.0
166,s2,217715.46
167,s1,18823.0
167,s2,115689.65
168,s1,17562.0
168,s2,100181.81
169,s1,39172.0
169,s2,212659.93
170,s1,31033.0
170,s2,211362.88
171,s1,13491.0
171,s2,94716.34
172,s1,73611.0
172,s2,439646.32
173,s1,29590.0
173,s2,190768.39
174,s1,22394.0
174,s2,138877.35
175,s1,27512.0
175,s2,184045.66
176,s1,35488.0
176,s2,198369.31
177,s1,36784.0
177,s2,214160.24
178,s1,56357.0
178,s2,314307.88
179,s1,49097.0
179,s2,290184.2
180,s1,34771.0
180,s2,211697.56
181,s1,34408.0
181,s2,195857.77
182,s1,54768.0
182,s2,326713.34
183,s1,7879.0
183,s2,51224.5
184,s1,8151.0
184,s2,53375.41
185,s1,8526.0
185,s2,51868.42
186,s1,8892.0
186,s2,57014.97
187,s1,30189.0
187,s2,177804.39
188,s1,5464.0
188,s2,29742.467
189,s1,196.0
189,s2,1115.278
190,s1,28820.0
190,s2,170940.63
191,s1,22378.0
191,s2,133327.63
192,s1,42107.0
192,s2,265009.28
193,s1,28954.0
193,s2,175329.87
194,s1,19243.0
194,s2,111094.36
195,s1,21231.0
195,s2,139840.34
196,s1,18286.0
196,s2,111663.54
197,s1,56618.0
197,s2,364064.83
198,s1,15085.0
198,s2,84948.52
199,s1,30019.0
199,s2,177005.17
200,s1,33573.0
200,s2,182025.19
201,s1,24533.0
201,s2,174169.37
202,s1,40001.0
202,s2,234587.26
203,s1,8363.0
203,s2,50507.9
204,s1,48917.0
204,s2,304815.85
205,s1,33697.0
205,s2,191606.4
206,s1,17686.0
206,s2,108150.44
207,s1,28519.0
207,s2,187130.41
208,s1,26006.0
208,s2,157661.69
209,s1,57569.0
209,s2,366917.69
210,s1,19893.0
210,s2,126904.42
211,s1,32192.0
211,s2,227301.87
212,s1,15472.0
212,s2,98528.31
213,s1,11811.0
213,s2,79630.2
214,s1,26085.0
214,s2,158959.6
215,s1,33492.0
215,s2,197489.78
216,s1,28738.0
216,s2,176710.73
217,s1,19762.0
217,s2,117248.28
218,s1,17279.0
218,s2,98040.05
219,s1,23969.0
219,s2,134082.58
220,s1,22309.0
220,s2,140267.27
221,s1,9123.0
221,s2,53041.6
222,s1,29493.0
222,s2,157215.8
223,s1,16777.0
223,s2,94035.91
224,s1,15041.0
224,s2,95150.45
225,s1,20063.0
225,s2,117321.09
226,s1,14745.0
226,s2,94990.13
227,s1,6530.0
227,s2,40333.66
228,s1,12742.0
228,s2,82618.75
229,s1,6814.0
229,s2,43398.13
230,s1,19968.0
230,s2,116248.5
231,s1,58837.0
231,s2,346457.66
232,s1,17563.0
232,s2,110521.78
233,s1,7932.0
233,s2,48441.79
234,s1,20156.0
234,s2,121474.45
235,s1,43396.0
235,s2,241846.56
236,s1,24276.0
236,s2,143664.27
237,s1,5303.0
237,s2,34626.8
238,s1,18832.0
238,s2,114302.37
239,s1,14131.0
239,s2,89021.52
240,s1,29248.0
240,s2,151911.51
241,s1,45137.0
241,s2,286729.17
242,s1,15517.0
242,s2,90973.77
243,s1,16031.0
243,s2,94686.73
244,s1,21217.0
244,s2,161586.06
245,s1,21696.0
245,s2,145884.71
246,s1,26144.0
246,s2,138876.94
247,s1,35156.0
247,s2,221579.43
248,s1,15577.0
248,s2,104467.65
249,s1,33733.0
249,s2,176658.78
250,s1,53478.0
250,s2,303413.4
251,s1,20968.0
251,s2,134510.16
252,s1,24263.0
252,s2,148998.46
253,s1,8434.0
253,s2,55959.7
254,s1,26117.0
254,s2,171528.72
255,s1,4821.0
255,s2,28464.02
256,s1,11932.0
256,s2,74287.89
257,s1,10258.0
257,s2,66078.81
258,s1,15771.0
258,s2,91205.51
259,s1,34911.0
259,s2,223793.26
260,s1,30850.0
260,s2,179561.69
261,s1,12857.0
261,s2,77948.92
262,s1,17184.0
262,s2,114859.53
263,s1,143711.0
263,s2,978322.68
264,s1,34487.0
264,s2,193445.24
265,s1,7198.0
265,s2,46426.79
266,s1,17951.0
266,s2,104590.87
267,s1,8488.0
267,s2,44665.22
268,s1,10957.0
268,s2,65732.65
269,s1,16147.0
269,s2,92023.86
270,s1,9392.0
270,s2,52457.98
271,s1,15845.0
271,s2,95750.38
272,s1,12166.0
272,s2,70650.32
273,s1,12323.0
273,s2,69885.09
274,s1,5961.0
274,s2,36339.888
275,s1,19557.0
275,s2,117012.58
276,s1,21437.0
276,s2,125752.08
277,s1,14664.0
277,s2,86984.44
278,s1,10212.0
278,s2,61302.1
279,s1,23033.0
279,s2,144236.0
280,s1,11277.0
280,s2,75142.81
281,s1,12902.0
281,s2,85123.52
282,s1,18251.0
282,s2,117799.97
283,s1,55513.0
283,s2,355227.18
284,s1,17354.0
284,s2,105387.7
285,s1,35223.0
285,s2,199070.24
286,s1,24529.0
286,s2,149990.73
287,s1,20858.0
287,s2,142246.16
288,s1,13305.0
288,s2,83719.5
289,s1,11740.0
289,s2,68002.22
290,s1,20152.0
290,s2,128821.18
291,s1,34980.0
291,s2,238991.38
292,s1,13168.0
292,s2,86586.3
293,s1,13963.0
293,s2,90839.96
294,s1,19530.0
294,s2,113357.66
295,s1,50619.0
295,s2,291659.23
296,s1,43697.0
296,s2,252800.33
297,s1,20072.0
297,s2,113725.85
298,s1,38528.0
298,s2,219988.11
299,s1,16085.0
299,s2,94269.57
300,s1,8062.0
300,s2,53160.08
301,s1,20425.0
301,s2,139296.28
302,s1,11818.0
302,s2,73169.71
303,s1,11771.0
303,s2,74438.96
304,s1,10559.0
304,s2,69149.57
305,s1,21880.0
305,s2,132052.13
306,s1,6632.0
306,s2,34247.29
307,s1,14434.0
307,s2,94077.46
308,s1,13900.0
308,s2,85170.25
309,s1,14171.0
309,s2,83760.87
310,s1,4613.0
310,s2,27761.5
311,s1,21309.0
311,s2,146382.81
312,s1,17563.0
312,s2,107319.66
313,s1,9144.0
313,s2,57193.7
314,s1,34360.0
314,s2,195628.67
315,s1,9376.0
315,s2,56228.0
316,s1,21591.0
316,s2,133645.27
317,s1,15493.0
317,s2,94640.0
318,s1,38219.0
318,s2,231728.47
319,s1,121640.0
319,s2,797814.21
320,s1,13321.0
320,s2,76924.52
321,s1,47118.0
321,s2,293364.13
322,s1,51466.0
322,s2,327489.13
323,s1,18819.0
323,s2,130430.64
324,s1,12234.0
324,s2,73694.96
325,s1,30032.0
325,s2,191735.39
326,s1,47990.0
326,s2,311597.32
327,s1,14156.0
327,s2,87906.13
328,s1,58933.0
328,s2,381058.09
329,s1,16025.0
329,s2,104082.09
330,s1,69071.0
330,s2,421875.88
331,s1,10366.0
331,s2,59277.21
332,s1,6811.0
332,s2,44552.94
333,s1,26936.0
333,s2,131318.8
334,s1,14878.0
334,s2,89009.82
335,s1,13914.0
335,s2,83334.31
336,s1,7695.0
336,s2,47297.94
337,s1,9193.0
337,s2,62526.31
338,s1,21365.0
338,s2,139389.15
339,s1,9412.0
339,s2,62059.26
340,s1,12213.0
340,s2,80832.89
341,s1,23426.0
341,s2,142153.4
342,s1,16592.0
342,s2,103666.06
343,s1,26113.0
343,s2,170687.84
344,s1,11717.0
344,s2,70716.25
345,s1,22428.0
345,s2,144313.99
346,s1,17419.0
346,s2,112317.91
347,s1,14323.0
347,s2,91032.7
348,s1,4178.0
348,s2,27305.096
349,s1,21273.0
349,s2,129900.45
350,s1,17147.0
350,s2,102182.14
351,s1,25052.0
351,s2,143292.0
352,s1,14037.0
352,s2,80203.58
353,s1,6500.0
353,s2,35309.22
354,s1,11132.0
354,s2,64471.4
355,s1,16724.0
355,s2,93026.72
356,s1,18332.0
356,s2,110742.11
357,s1,16575.0
357,s2,97922.48
358,s1,7772.0
358,s2,51562.41
359,s1,6103.0
359,s2,41635.62
360,s1,5498.0
360,s2,35330.541
361,s1,13937.0
361,s2,89896.74
362,s1,73319.0
362,s2,394732.4
363,s1,14826.0
363,s2,85934.66
364,s1,12525.0
364,s2,91325.33
365,s1,15162.0
365,s2,94394.29
366,s1,14516.0
366,s2,87643.02
367,s1,22088.0
367,s2,160215.31
368,s1,6944.0
368,s2,37041.59
369,s1,101.0
369,s2,625.807
370,s1,11643.0
370,s2,70744.95
371,s1,4942.0
371,s2,32023.65
372,s1,64558.0
372,s2,434954.34
373,s1,10581.0
373,s2,63348.6
374,s1,12437.0
374,s2,76134.87
375,s1,11450.0
375,s2,69036.61
376,s1,4102.0
376,s2,27229.4
377,s1,17829.0
377,s2,113984.26
378,s1,19412.0
378,s2,118378.86
379,s1,15751.0
379,s2,71242.36
380,s1,16081.0
380,s2,101112.9
381,s1,14470.0
381,s2,92918.15
382,s1,8015.0
382,s2,51292.39
383,s1,9969.0
383,s2,66212.49
384,s1,12177.0
384,s2,76402.03
385,s1,16327.0
385,s2,94809.05
386,s1,18539.0
386,s2,97092.75
387,s1,12583.0
387,s2,78831.44
388,s1,24543.0
388,s2,167197.14
389,s1,7546.0
389,s2,43903.15
390,s1,19296.0
390,s2,114481.86
391,s1,14394.0
391,s2,91994.08
392,s1,4857.0
392,s2,28862.349
393,s1,15312.0
393,s2,91991.5
394,s1,8959.0
394,s2,62162.81
395,s1,8073.0
395,s2,44580.39
396,s1,11285.0
396,s2,65735.43
397,s1,11304.0
397,s2,72739.4
398,s1,10641.0
398,s2,64108.25
399,s1,24219.0
399,s2,142066.92
400,s1,32286.0
400,s2,211834.55
401,s1,28463.0
401,s2,197862.52
402,s1,9822.0
402,s2,53568.43
403,s1,5429.0
403,s2,29647.25
404,s1,12.0
404,s2,51.7931
405,s1,13015.0
405,s2,86816.08
406,s1,13500.0
406,s2,81475.91
407,s1,9925.0
407,s2,57448.96
408,s1,8238.0
408,s2,53904.82
409,s1,40977.0
409,s2,243644.23
410,s1,19206.0
410,s2,114514.13
411,s1,20895.0
411,s2,89248.28
412,s1,22986.0
412,s2,131822.49
413,s1,4059.0
413,s2,23500.698
414,s1,35861.0
414,s2,230933.33
415,s1,192626.0
415,s2,1377684.0
